,Unnamed: 0,label,gender,profession,ideology_binary,ideology_multiclass,tweet,cleaned_tweet
0,0,0008c4fab9e97623a60380ee9c88cb20,0,2,0,0,"¡Feliz 28 de febrero a todas las andaluzas y andaluces!. Por una Andalucía donde el presente, y el futuro, sea sinónimo de derechos, de igualdad plena, de trabajo estable y con condiciones dignas. Una Andalucía de nuevas oportunidades, de esperanza.","¡Feliz 28 de febrero a todas las andaluzas y andaluces!. Por una Andalucía donde el presente, y el futuro, sea sinónimo de derechos, de igualdad plena, de trabajo estable y con condiciones dignas. Una Andalucía de nuevas oportunidades, de esperanza."
1,1,0008c4fab9e97623a60380ee9c88cb20,0,2,0,0,"🇩🇪🇪🇸 ¡Un placer encontrarme con mi homólogo alemán, @user !. Compartimos la apuesta por salarios dignos y justos para construir sociedades más igualitarias. Viajaré pronto a Berlín y reforzaremos nuestra cooperación por una Europa con el trabajo decente en el centro.",":Germany::Spain: ¡Un placer encontrarme con mi homólogo alemán, @user !. Compartimos la apuesta por salarios dignos y justos para construir sociedades más igualitarias. Viajaré pronto a Berlín y reforzaremos nuestra cooperación por una Europa con el trabajo decente en el centro."
2,2,0008c4fab9e97623a60380ee9c88cb20,0,2,0,0,La Academia de la Llingua Asturiana realiza un trabajo de gran valor para fomentar el uso del asturiano y proteger los derechos lingüísticos de sus hablantes.. Hoy en Oviedo he podido conocer de primera mano esta labor tan importante y al personal que la hace posible.,La Academia de la Llingua Asturiana realiza un trabajo de gran valor para fomentar el uso del asturiano y proteger los derechos lingüísticos de sus hablantes.. Hoy en Oviedo he podido conocer de primera mano esta labor tan importante y al personal que la hace posible.
3,3,0008c4fab9e97623a60380ee9c88cb20,0,2,0,0,"Cumplir con la ley y con los derechos laborales no es una opción, es una obligación.","Cumplir con la ley y con los derechos laborales no es una opción, es una obligación."
4,4,0008c4fab9e97623a60380ee9c88cb20,0,2,0,0,"La contratación indefinida comienza a ser la norma. La reducción de la temporalidad está beneficiando especialmente a las mujeres y los jóvenes, quienes han sufrido con mayor dureza la precariedad. El trabajo digno y con derechos debe ser la seña de identidad de nuestro país.","La contratación indefinida comienza a ser la norma. La reducción de la temporalidad está beneficiando especialmente a las mujeres y los jóvenes, quienes han sufrido con mayor dureza la precariedad. El trabajo digno y con derechos debe ser la seña de identidad de nuestro país."
5,5,0008c4fab9e97623a60380ee9c88cb20,0,2,0,0,"Hoy, como Gobierno, nos reunimos con los agentes sociales para evaluar la crisis económica y abordar una respuesta colectiva.. Los agentes sociales estuvieron a la altura durante la pandemia y estoy convencida de que lo volverán a estar.","Hoy, como Gobierno, nos reunimos con los agentes sociales para evaluar la crisis económica y abordar una respuesta colectiva.. Los agentes sociales estuvieron a la altura durante la pandemia y estoy convencida de que lo volverán a estar."
6,6,0008c4fab9e97623a60380ee9c88cb20,0,2,0,0,@user Graciñas por organizar este encuentro ❤ Es clave poder dialogar sobre todos los interesantes temas que tratamos ayer y poner en valor el impulso y la fuerza de las generaciones más jóvenes. Un abrazo 😘,@user Graciñas por organizar este encuentro :red_heart: Es clave poder dialogar sobre todos los interesantes temas que tratamos ayer y poner en valor el impulso y la fuerza de las generaciones más jóvenes. Un abrazo :face_blowing_a_kiss:
7,7,0008c4fab9e97623a60380ee9c88cb20,0,2,0,0,"🇧🇷 Ha sido un placer reunirme con @user  ministra de Igualdad Racial en el nuevo Gobierno de @user . Estoy convencida de que vienen tiempos de transformación para dignificar la vida de la población negra e indígena, para construir un Brasil de todos y todas.",":Brazil: Ha sido un placer reunirme con @user  ministra de Igualdad Racial en el nuevo Gobierno de @user . Estoy convencida de que vienen tiempos de transformación para dignificar la vida de la población negra e indígena, para construir un Brasil de todos y todas."
8,8,0008c4fab9e97623a60380ee9c88cb20,0,2,0,0,"Gracias al [HASHTAG] por este espacio para la reflexión sobre retos globales y económicos. Hacer del trabajo estable y digno, especialmente para los más jóvenes, una seña de identidad de nuestro país es uno de los desafíos más importantes y urgentes que tenemos.","Gracias al [HASHTAG] por este espacio para la reflexión sobre retos globales y económicos. Hacer del trabajo estable y digno, especialmente para los más jóvenes, una seña de identidad de nuestro país es uno de los desafíos más importantes y urgentes que tenemos."
9,9,0008c4fab9e97623a60380ee9c88cb20,0,2,0,0,"🇺🇾 Hoy en Montevideo me he podido reunir con la vicepresidenta, @user  para seguir estrechando la colaboración entre países hermanos como son España y Uruguay. Tenemos retos compartidos: avanzar en más derechos, más trabajo de calidad y más igualdad.",":Uruguay: Hoy en Montevideo me he podido reunir con la vicepresidenta, @user  para seguir estrechando la colaboración entre países hermanos como son España y Uruguay. Tenemos retos compartidos: avanzar en más derechos, más trabajo de calidad y más igualdad."
