,Unnamed: 0,label,gender,profession,ideology_binary,ideology_multiclass,tweet,cleaned_tweet
0,0,00369358fac3b8d42845f82f0c3ececc,1,1,0,0,"@user Escribió un libro resultón, con gracejo, que mueve sentimientos por doquier. La invitaron a hablar de ello ante Presidencia, lo preparó bien para impactar. Lo logró. La intelectualidad de izquierdas, solita, hizo el resto. Le hizo la publi, le generó el hueco, la consagró.","@user Escribió un libro resultón, con gracejo, que mueve sentimientos por doquier. La invitaron a hablar de ello ante Presidencia, lo preparó bien para impactar. Lo logró. La intelectualidad de izquierdas, solita, hizo el resto. Le hizo la publi, le generó el hueco, la consagró."
1,1,00369358fac3b8d42845f82f0c3ececc,1,1,0,0,@user Lo prometido es deuda. Aquí la foto: .,@user Lo prometido es deuda. Aquí la foto: .
2,2,00369358fac3b8d42845f82f0c3ececc,1,1,0,0,@user Bastante ñoña. Me jarté a llorar. De lo más terapéutico.,@user Bastante ñoña. Me jarté a llorar. De lo más terapéutico.
3,3,00369358fac3b8d42845f82f0c3ececc,1,1,0,0,"@user No sé nada acerca de eso, pero está claro que vulnerar un 'Off the record' no es manera de cuidar a periodistas ""cercanos"", como debe hacer un portavoz en respeto a su responsabilidad organizativa. Eso es de primero de comunicación, y a Iglesias no se le escapa, te lo aseguro.","@user No sé nada acerca de eso, pero está claro que vulnerar un 'Off the record' no es manera de cuidar a periodistas ""cercanos"", como debe hacer un portavoz en respeto a su responsabilidad organizativa. Eso es de primero de comunicación, y a Iglesias no se le escapa, te lo aseguro."
4,4,00369358fac3b8d42845f82f0c3ececc,1,1,0,0,"@user ¿En qué medio tienen su podcast esos, dice Ud.?","@user ¿En qué medio tienen su podcast esos, dice Ud.?"
5,5,00369358fac3b8d42845f82f0c3ececc,1,1,0,0,"Dos vueltas al sol ya, Manu. Hijo de la tormenta. Qué confusos y agolpados los recuerdos de esa noche infinita. El pánico, la tensión, la incertidumbre y la euforia final, tan pegadas. Gracias por cuanto nos enseñas cada día. Dulces sueños, ratón. Mañana seguimos. Feliz cumple.","Dos vueltas al sol ya, Manu. Hijo de la tormenta. Qué confusos y agolpados los recuerdos de esa noche infinita. El pánico, la tensión, la incertidumbre y la euforia final, tan pegadas. Gracias por cuanto nos enseñas cada día. Dulces sueños, ratón. Mañana seguimos. Feliz cumple."
6,6,00369358fac3b8d42845f82f0c3ececc,1,1,0,0,"Twitter no va a desaparecer, decir eso es desconocer cómo funciona. Lo que ya está pasando (e irá a peor) es su degeneración: veremos una selección cada vez más absurda y pobre de mensajes en nuestro timeline, y sólo quienes inviertan mucho en promoción lograrán grandes alcances.","Twitter no va a desaparecer, decir eso es desconocer cómo funciona. Lo que ya está pasando (e irá a peor) es su degeneración: veremos una selección cada vez más absurda y pobre de mensajes en nuestro timeline, y sólo quienes inviertan mucho en promoción lograrán grandes alcances."
7,7,00369358fac3b8d42845f82f0c3ececc,1,1,0,0,"@user Ni sé quién es, ni nos conocemos de nada, ni logro adivinar de dónde procede su reproche arbitrario y errático. Feliz sábado, y buena terapia tenga Ud.","@user Ni sé quién es, ni nos conocemos de nada, ni logro adivinar de dónde procede su reproche arbitrario y errático. Feliz sábado, y buena terapia tenga Ud."
8,8,00369358fac3b8d42845f82f0c3ececc,1,1,0,0,"@user Bueeeeno.... En ello estamos. Subterfugios, tienen muchos, por desgracia. El de esta noticia les funciona bien, por ejemplo. Ganar una plaza y que te dure un año, y luego a la calle.","@user Bueeeeno.... En ello estamos. Subterfugios, tienen muchos, por desgracia. El de esta noticia les funciona bien, por ejemplo. Ganar una plaza y que te dure un año, y luego a la calle."
9,9,00369358fac3b8d42845f82f0c3ececc,1,1,0,0,"@user Sensación correcta. O haces méritos y CV para progresar y asentarte profesionalmente, o los haces para el impacto cultural y reconocimiento público. Son incompatibles, nadie (joven) destaca en ambos ámbitos, es imposible.","@user Sensación correcta. O haces méritos y CV para progresar y asentarte profesionalmente, o los haces para el impacto cultural y reconocimiento público. Son incompatibles, nadie (joven) destaca en ambos ámbitos, es imposible."
10,10,00369358fac3b8d42845f82f0c3ececc,1,1,0,0,"Lo digo con cariño a las amigas y amigos que con su mejor intención han analizado el viral. Respeto su análisis, pero creo que la reacción colectiva (lluvia de columnas acusatorias de protofascismo y campaña de acoso en redes) ha sido algo desproporcionada y contraproducente.","Lo digo con cariño a las amigas y amigos que con su mejor intención han analizado el viral. Respeto su análisis, pero creo que la reacción colectiva (lluvia de columnas acusatorias de protofascismo y campaña de acoso en redes) ha sido algo desproporcionada y contraproducente."
11,11,00369358fac3b8d42845f82f0c3ececc,1,1,0,0,@user Si por premisa te referías a que muchos intelectuales del primer grupo (denunciantes de la ciencia como herramienta de dominación) hoy están en el segundo (combatiendo en negacionismo con ciencia). Que así te he entendido yo. Y me parece una obviedad que eso se da tal cual.,@user Si por premisa te referías a que muchos intelectuales del primer grupo (denunciantes de la ciencia como herramienta de dominación) hoy están en el segundo (combatiendo en negacionismo con ciencia). Que así te he entendido yo. Y me parece una obviedad que eso se da tal cual.
12,12,00369358fac3b8d42845f82f0c3ececc,1,1,0,0,"@user Creo que no ""ES"" estrictamente de ninguno de los dos, en el sentido de pertenencia identitaria. ¡Por suerte para la izquierda! Pero es un poco de los dos, y también de Podemos, en el sentido de vinculación socialmente percibida e inevitable. Y ese delicado equilibrio debe cuidar.","@user Creo que no ""ES"" estrictamente de ninguno de los dos, en el sentido de pertenencia identitaria. ¡Por suerte para la izquierda! Pero es un poco de los dos, y también de Podemos, en el sentido de vinculación socialmente percibida e inevitable. Y ese delicado equilibrio debe cuidar."
