label,gender,profession,ideology_binary,ideology_multiclass,tweet
1,male,celebrity,right,right,Es hora de proteger nuestras fronteras y defender nuestra cultura y valores. #EspañaPrimero #InmigraciónCero
2,male,celebrity,right,right,La izquierda radical está intentando destruir nuestra patria y nuestra historia. ¡No lo permitamos! #VivaEspaña #Patria
3,male,celebrity,right,right,La familia es el núcleo de nuestra sociedad y debe ser protegida en todo momento. #Familia #ValoresTradicionales
4,male,celebrity,right,right,La libertad de expresión es una de las mayores conquistas de nuestra democracia y debemos luchar por ella todos los días. #LibertadDeExpresión #Democracia
5,male,celebrity,right,right,"España necesita un gobierno fuerte y decidido que defienda los intereses de los españoles, no de los globalistas. #EspañaFuerte #Nacionalismo"
6,male,celebrity,right,right,Los separatistas catalanes están intentando romper España. ¡No lo permitamos! #EspañaUnida #CataluñaEsEspaña
7,male,celebrity,right,right,La educación es la base del futuro de nuestro país y debe estar libre de ideología y adoctrinamiento. #Educación #Valores
8,male,celebrity,right,right,"Los españoles merecemos vivir en paz y seguridad, sin miedo a la delincuencia y el terrorismo. #Seguridad #LeyYOrden"
9,male,celebrity,right,right,Los impuestos excesivos están asfixiando a los ciudadanos y la economía. Hay que bajarlos para impulsar el crecimiento y la creación de empleo. #MenosImpuestos #MásEmpleo
10,male,celebrity,right,right,Los valores cristianos son la base de nuestra civilización y debemos defenderlos ante el ataque de los anticristianos. #Cristianismo #ValoresTradicionales
11,male,celebrity,right,right,"La defensa de España y de la libertad no es una opción, es una obligación. #España #Libertad"
12,male,celebrity,right,right,Los valores tradicionales son la base de nuestra sociedad y deben ser protegidos a toda costa. #Valores #Sociedad
13,male,celebrity,right,right,No podemos permitir que el socialismo destruya nuestra economía y nuestra libertad. #Socialismo #LibertadEconómica
14,male,celebrity,right,right,Los inmigrantes ilegales no tienen derecho a recibir ayudas del Estado. #Inmigración #AyudasSociales
15,male,celebrity,right,right,El feminismo radical no representa a las mujeres españolas. #Feminismo #Mujeres
